epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,266293,1.32672,2.22503,1.25661,0.00753,0.23109,0.77323,0.60289,0.68487,0.51307,0.77666,0.5876,0.66269,0.44542,1.18131,2.07359,1.02612,0.0089,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,3026.58,1.30508,2.18338,1.21517,0.00731,0.21791,0.77937,0.60139,0.68639,0.51488,0.78813,0.5885,0.66443,0.44657,1.17765,2.06821,1.02281,0.00885,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,5711.22,1.31324,2.201,1.23543,0.00739,0.22374,0.77733,0.60302,0.68743,0.51537,0.78816,0.58647,0.66534,0.44693,1.17816,2.06618,1.01735,0.00885,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,8750.56,1.31478,2.20174,1.22914,0.00737,0.22316,0.75503,0.61394,0.68834,0.51577,0.78656,0.5874,0.66622,0.44701,1.17609,2.06226,1.0181,0.00882,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,11461.5,1.31392,2.2038,1.23332,0.00739,0.22336,0.77506,0.60718,0.689,0.51573,0.78415,0.58899,0.66685,0.44755,1.17548,2.061,1.01955,0.00882,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,14309.4,1.31411,2.19949,1.22873,0.00739,0.2231,0.77345,0.60898,0.68862,0.51586,0.78689,0.5862,0.66607,0.44763,1.17395,2.05741,1.01705,0.00881,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,17115.8,1.31203,2.19788,1.22609,0.00734,0.22321,0.76881,0.61377,0.68918,0.51728,0.77727,0.59072,0.66743,0.4487,1.17342,2.05737,1.01567,0.00879,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,19713.6,1.30648,2.1913,1.22307,0.00734,0.22208,0.75253,0.62225,0.68879,0.51603,0.76361,0.59715,0.66646,0.44803,1.17414,2.05629,1.01296,0.00879,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,22518.5,1.30481,2.18808,1.21654,0.0073,0.22159,0.77035,0.61522,0.68958,0.51701,0.76856,0.59504,0.66675,0.449,1.17327,2.05512,1.01255,0.00878,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,24896.7,1.3042,2.18327,1.21285,0.00729,0.22027,0.76076,0.61764,0.68924,0.51687,0.75451,0.60197,0.66716,0.44911,1.17225,2.05228,1.01313,0.00876,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,27252.2,1.29611,2.17441,1.20156,0.00728,0.21669,0.75953,0.62508,0.69113,0.51722,0.76069,0.60292,0.6685,0.44933,1.17127,2.05191,1.01203,0.00876,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,29667.6,1.29776,2.17642,1.20146,0.00724,0.21634,0.76229,0.62406,0.69211,0.51787,0.75822,0.60407,0.66774,0.45009,1.17072,2.04861,1.00923,0.00877,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,32133.6,1.29225,2.16652,1.1934,0.0072,0.21421,0.76604,0.62392,0.69347,0.51857,0.76177,0.60127,0.66673,0.45,1.1694,2.05047,1.00692,0.00876,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,36455.2,1.29201,2.16484,1.19595,0.0072,0.21468,0.76612,0.6255,0.69502,0.51993,0.76569,0.60485,0.67016,0.45184,1.16975,2.04694,1.00583,0.00876,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,40781.8,1.28954,2.16158,1.19044,0.00717,0.21283,0.77024,0.62036,0.69454,0.51983,0.76482,0.60416,0.66971,0.45192,1.16908,2.04479,1.00789,0.00875,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,44908.8,1.28559,2.15377,1.17998,0.00714,0.21045,0.76578,0.62195,0.69409,0.51981,0.75801,0.60661,0.67004,0.45173,1.16877,2.04458,1.00918,0.00873,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,47301.1,1.2804,2.14463,1.17464,0.00708,0.20884,0.76124,0.62205,0.69441,0.51985,0.75157,0.60824,0.67027,0.45157,1.16831,2.04251,1.00742,0.00874,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,49595.9,1.27481,2.13408,1.16641,0.00705,0.20687,0.77889,0.61775,0.69458,0.52076,0.76272,0.60419,0.67054,0.45235,1.16574,2.04359,1.00529,0.0087,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,52087.2,1.27578,2.13433,1.16478,0.00703,0.20478,0.76083,0.62746,0.69508,0.52125,0.74672,0.61272,0.67071,0.45252,1.16501,2.04477,1.00349,0.00869,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,54409.5,1.27004,2.12401,1.15641,0.00698,0.20439,0.75551,0.63106,0.69522,0.52136,0.74572,0.61133,0.6711,0.45358,1.16414,2.04337,1.00149,0.00866,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,56704.7,1.27004,2.12632,1.15061,0.00694,0.20252,0.76429,0.62308,0.69642,0.52157,0.75648,0.60533,0.67222,0.45289,1.16186,2.03967,1.00097,0.00863,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,59109.3,1.26415,2.11287,1.1433,0.0069,0.20006,0.78274,0.61759,0.69758,0.52385,0.78065,0.59976,0.67287,0.45391,1.16139,2.03393,0.99858,0.00863,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,62687.1,1.25849,2.10667,1.13572,0.00684,0.19693,0.79793,0.61203,0.69818,0.52512,0.78365,0.60004,0.67378,0.45454,1.15986,2.03666,0.99615,0.00859,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,66844.2,1.25469,2.10286,1.12674,0.00681,0.19694,0.79822,0.61322,0.69856,0.52558,0.78683,0.59809,0.67324,0.4547,1.15947,2.03742,0.99575,0.00861,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,70629.8,1.24866,2.0926,1.12131,0.00677,0.19433,0.78831,0.618,0.69882,0.52585,0.78682,0.60014,0.67348,0.45559,1.15803,2.03593,0.99516,0.0086,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,74479.4,1.2503,2.08931,1.11437,0.00674,0.19165,0.7707,0.62647,0.69942,0.52579,0.76374,0.60894,0.67394,0.45536,1.1568,2.03452,0.99665,0.00858,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,78502.3,1.24684,2.08254,1.11061,0.00672,0.19079,0.78425,0.6208,0.70023,0.52613,0.78146,0.59981,0.67395,0.45577,1.15674,2.03214,0.99579,0.00858,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,82215.5,1.23897,2.06881,1.09532,0.00664,0.18728,0.78459,0.62295,0.7004,0.52577,0.78561,0.59737,0.67324,0.45527,1.15646,2.03316,0.99226,0.00858,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,86298.3,1.23573,2.06376,1.08966,0.00663,0.18625,0.77422,0.62683,0.70022,0.52622,0.78301,0.59768,0.67328,0.45524,1.15509,2.0328,0.993,0.00856,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,90244.5,1.23077,2.05717,1.07815,0.00657,0.18389,0.7837,0.62399,0.70085,0.52616,0.79058,0.59994,0.67456,0.45555,1.15529,2.03228,0.99261,0.00857,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,93911.4,1.22432,2.04444,1.07523,0.00655,0.18137,0.7863,0.62283,0.70082,0.52639,0.78527,0.60527,0.67527,0.45615,1.15644,2.03117,0.98963,0.00857,0,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,97601.6,1.2238,2.0446,1.06715,0.00648,0.17951,0.78052,0.62554,0.70131,0.52731,0.79446,0.60128,0.6762,0.45686,1.155,2.02984,0.99164,0.00856,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,101308,1.21287,2.02607,1.05397,0.00642,0.17671,0.7812,0.63069,0.70192,0.52694,0.78179,0.61159,0.67717,0.45694,1.15637,2.02843,0.98923,0.00857,0,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,104965,1.20422,1.9992,0.97115,0.0076,0.07785,0.77909,0.6321,0.70214,0.52707,0.77442,0.61414,0.67696,0.45711,1.15545,2.02966,0.98812,0.00856,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,108525,1.19379,1.98037,0.94878,0.00749,0.07499,0.78747,0.62251,0.70095,0.5258,0.7864,0.60557,0.67633,0.45647,1.15709,2.03054,0.98742,0.00856,0,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,112073,1.18513,1.96854,0.93604,0.00734,0.07306,0.78558,0.62699,0.70159,0.52646,0.79353,0.60723,0.67819,0.4567,1.15718,2.03151,0.98851,0.00858,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,115674,1.18048,1.95866,0.92163,0.00724,0.07126,0.80035,0.62001,0.70114,0.52521,0.80318,0.60334,0.67758,0.45498,1.15915,2.03323,0.98667,0.0086,0,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,119209,1.16877,1.9422,0.91155,0.00713,0.06969,0.79296,0.62562,0.70162,0.52514,0.79589,0.60732,0.67688,0.45448,1.15963,2.03275,0.98692,0.00859,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,122684,1.16262,1.93131,0.89621,0.00704,0.06846,0.79972,0.62144,0.70092,0.52465,0.80011,0.60705,0.67733,0.4549,1.15883,2.03186,0.987,0.0086,0,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
